,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
816,300000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),43200.0
817,2100.0,Monthly,6-8 years,0-2 years,Brazilian reais (R$),4788.0
818,150000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),150000.0
819,132000.0,Yearly,24-26 years,21-23 years,U.S. dollars ($),132000.0
822,107000.0,Yearly,24-26 years,24-26 years,U.S. dollars ($),107000.0
823,33000.0,Yearly,6-8 years,3-5 years,Euros (€),35310.0
827,115000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),115000.0
828,28000.0,Yearly,3-5 years,3-5 years,Euros (€),29960.0
831,90000.0,Yearly,18-20 years,9-11 years,Euros (€),96300.0
833,268882.0,Monthly,3-5 years,0-2 years,Euros (€),3452444.88
834,46000.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),6624.0
838,450.0,Monthly,0-2 years,0-2 years,Euros (€),5778.0
839,1000.0,Monthly,15-17 years,9-11 years,U.S. dollars ($),12000.0
840,102000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),102000.0
843,122300.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),122300.0
848,2500.0,Monthly,15-17 years,6-8 years,Euros (€),32100.0
849,1500.0,Weekly,0-2 years,0-2 years,U.S. dollars ($),78000.0
853,54000.0,Yearly,24-26 years,21-23 years,British pounds sterling (£),66960.0
854,12000.0,Monthly,9-11 years,6-8 years,Polish złoty (zł),36000.0
855,47500.0,Yearly,15-17 years,15-17 years,Euros (€),50825.0
857,2200000.0,Yearly,9-11 years,3-5 years,Indian rupees (₹),26400.0
859,100000.0,Monthly,18-20 years,12-14 years,Russian rubles (₽),13200.0
861,94000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),94000.0
863,120000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),120000.0
866,170000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),170000.0
868,625.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),7500.0
869,1000.0,Monthly,0-2 years,0-2 years,U.S. dollars ($),12000.0
873,3146.0,Monthly,6-8 years,0-2 years,Euros (€),40394.64
875,20000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),2880.0
878,174000.0,Yearly,18-20 years,18-20 years,Australian dollars (A$),113100.0
880,97500.0,Yearly,18-20 years,3-5 years,Swiss francs,107250.00000000001
884,900000.0,Monthly,9-11 years,9-11 years,Indian rupees (₹),129600.0
889,3600.0,Monthly,12-14 years,6-8 years,Euros (€),46224.0
891,120000.0,Yearly,12-14 years,0-2 years,Swiss francs,132000.0
893,23500.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),3384.0
894,28000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),34720.0
897,25000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),3600.0
899,10000.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),1440.0
900,6400.0,Monthly,6-8 years,3-5 years,Mexican pesos (MXN$),4531.2
903,6200.0,Monthly,12-14 years,9-11 years,Brazilian reais (R$),14136.0
905,27000.0,Yearly,18-20 years,18-20 years,Euros (€),28890.0
906,775000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),9300.0
908,115000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),115000.0
909,13000.0,Monthly,9-11 years,9-11 years,Polish złoty (zł),39000.0
912,52000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),52000.0
914,1300.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),15600.0
915,140000.0,Monthly,9-11 years,6-8 years,Russian rubles (₽),18480.0
918,1200.0,Monthly,9-11 years,3-5 years,Euros (€),15408.0
920,30000.0,Yearly,12-14 years,3-5 years,Euros (€),32100.000000000004
921,200000.0,Yearly,18-20 years,9-11 years,U.S. dollars ($),200000.0
923,2800.0,Monthly,6-8 years,6-8 years,Brazilian reais (R$),6384.0
927,28500.0,Monthly,6-8 years,3-5 years,Swedish kroner (SEK),31464.0
928,17000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),21080.0
930,4000.0,Monthly,12-14 years,6-8 years,Euros (€),51360.0
931,2600.0,Monthly,6-8 years,3-5 years,Euros (€),33384.0
933,4400.0,Monthly,18-20 years,15-17 years,Euros (€),56496.0
934,80000.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),960000.0
935,250.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),3000.0
937,187300.0,Monthly,6-8 years,6-8 years,Russian rubles (₽),24723.6
938,18000.0,Yearly,3-5 years,3-5 years,Euros (€),19260.0
943,57000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),57000.0
948,900000.0,Yearly,9-11 years,6-8 years,Indian rupees (₹),10800.0
949,361.0,Monthly,0-2 years,0-2 years,U.S. dollars ($),4332.0
956,140000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),140000.0
962,1500.0,Monthly,6-8 years,0-2 years,Euros (€),19260.0
965,50000.0,Yearly,9-11 years,3-5 years,Euros (€),53500.0
970,78000.0,Yearly,3-5 years,3-5 years,Euros (€),83460.0
976,69000.0,Yearly,12-14 years,6-8 years,Euros (€),73830.0
977,450.0,Monthly,3-5 years,0-2 years,Euros (€),5778.0
978,200.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),2400.0
982,10000.0,Monthly,12-14 years,12-14 years,Brazilian reais (R$),22800.0
983,95000.0,Monthly,9-11 years,3-5 years,Russian rubles (₽),12540.0
994,2500.0,Monthly,3-5 years,0-2 years,Brazilian reais (R$),5700.0
995,600.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),7200.0
996,94000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),94000.0
1000,73000.0,Yearly,18-20 years,12-14 years,Euros (€),78110.0
1004,3700.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),8436.0
1007,35000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),43400.0
1008,45000.0,Yearly,3-5 years,3-5 years,Euros (€),48150.0
1011,29630.0,Yearly,27-29 years,0-2 years,British pounds sterling (£),36741.2
1012,67000.0,Yearly,15-17 years,15-17 years,Euros (€),71690.0
1013,69000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),69000.0
1015,78000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),78000.0
1016,50000.0,Yearly,12-14 years,9-11 years,British pounds sterling (£),62000.0
1017,33000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),40920.0
1018,312000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),3744.0
1019,90000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),90000.0
1031,900000.0,Yearly,12-14 years,12-14 years,Russian rubles (₽),9900.0
1034,107000.0,Yearly,18-20 years,18-20 years,Australian dollars (A$),69550.0
1037,65000.0,Yearly,12-14 years,3-5 years,U.S. dollars ($),65000.0
1038,175000.0,Monthly,18-20 years,12-14 years,Russian rubles (₽),23100.0
1039,1200.0,Monthly,6-8 years,3-5 years,Euros (€),15408.0
1041,95000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),95000.0
1042,30000.0,Monthly,9-11 years,6-8 years,Danish krone (kr),50400.0
1044,730.0,Weekly,9-11 years,0-2 years,Australian dollars (A$),24674.0
1046,300.0,Weekly,15-17 years,9-11 years,U.S. dollars ($),15600.0
1049,110000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),110000.0
1050,30000.0,Monthly,6-8 years,6-8 years,British pounds sterling (£),446400.0
1059,10000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),10000.0
1061,43500.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),43500.0
1063,3800.0,Monthly,6-8 years,0-2 years,Australian dollars (A$),29640.0
1064,65000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),65000.0
1066,42000.0,Yearly,18-20 years,9-11 years,Euros (€),44940.0
1068,850000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),10200.0
1069,45000.0,Monthly,18-20 years,6-8 years,Swedish kroner (SEK),49680.0
1070,70000.0,Yearly,24-26 years,21-23 years,British pounds sterling (£),86800.0
1074,10000.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),1440.0
1079,154000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),154000.0
1080,60000.0,Yearly,9-11 years,6-8 years,Euros (€),64200.00000000001
1083,60000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),60000.0
1084,88000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),88000.0
1088,240000.0,Yearly,24-26 years,21-23 years,U.S. dollars ($),240000.0
1089,160000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),160000.0
1091,143000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),143000.0
1092,50000.0,Yearly,30 or more years,30 or more years,British pounds sterling (£),62000.0
1093,5000.0,Monthly,21-23 years,3-5 years,U.S. dollars ($),60000.0
1104,5500.0,Monthly,6-8 years,0-2 years,Swiss francs,72600.00000000001
1105,20000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),20000.0
1106,22000.0,Yearly,0-2 years,3-5 years,Euros (€),23540.0
1108,70000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),70000.0
1110,120000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),120000.0
1111,2000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),24000.0
1114,4100.0,Monthly,6-8 years,6-8 years,U.S. dollars ($),49200.0
1115,250000.0,Yearly,6-8 years,0-2 years,Indian rupees (₹),3000.0
1118,85000.0,Monthly,9-11 years,6-8 years,Mexican pesos (MXN$),60180.0
1123,43000.0,Monthly,15-17 years,6-8 years,Danish krone (kr),72240.00000000001
1127,8500.0,Monthly,9-11 years,9-11 years,Australian dollars (A$),66300.0
1129,64000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),64000.0
1130,48000.0,Monthly,18-20 years,9-11 years,South African rands (R),29952.0
1131,35000.0,Yearly,3-5 years,0-2 years,Canadian dollars (C$),25550.0
1134,26000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),3744.0
1135,2225.0,Monthly,15-17 years,9-11 years,Euros (€),28569.0
1138,74000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),74000.0
1142,1000.0,Monthly,18-20 years,6-8 years,Euros (€),12840.0
1146,3150.0,Monthly,6-8 years,6-8 years,Euros (€),40446.0
1149,50000.0,Monthly,27-29 years,9-11 years,Norwegian krone (kr),54600.0
1150,1880.0,Monthly,15-17 years,6-8 years,Euros (€),24139.2
1152,450.0,Weekly,6-8 years,3-5 years,Euros (€),25038.0
1156,52000.0,Yearly,9-11 years,0-2 years,Euros (€),55640.0
1158,1500000.0,Monthly,9-11 years,0-2 years,Indian rupees (₹),216000.0
1160,87500.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),1050000.0
1161,40000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),40000.0
1164,40000.0,Monthly,15-17 years,9-11 years,Swedish kroner (SEK),44160.0
1167,145000.0,Yearly,15-17 years,12-14 years,Australian dollars (A$),94250.0
1168,50000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),600.0
1172,90000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),90000.0
1178,42000.0,Yearly,6-8 years,3-5 years,Euros (€),44940.0
1180,70000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),10080.0
1181,16000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),2304.0
1184,2600.0,Monthly,3-5 years,3-5 years,Euros (€),33384.0
1187,50000.0,Yearly,9-11 years,6-8 years,Euros (€),53500.0
1191,150000.0,Yearly,9-11 years,6-8 years,Canadian dollars (C$),109500.0
1196,102000.0,Yearly,18-20 years,9-11 years,U.S. dollars ($),102000.0
1197,732000.0,Monthly,9-11 years,3-5 years,South African rands (R),456768.0
1207,25000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),3600.0
1209,40000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),40000.0
1211,139000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),139000.0
1215,130000.0,Yearly,18-20 years,12-14 years,U.S. dollars ($),130000.0
1217,95000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),95000.0
1221,4300.0,Monthly,12-14 years,12-14 years,Euros (€),55212.0
1223,40000.0,Monthly,3-5 years,0-2 years,Russian rubles (₽),5280.0
1224,140000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),140000.0
1225,35500.0,Yearly,12-14 years,3-5 years,British pounds sterling (£),44020.0
1226,600000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),7200.0
1229,80000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),80000.0
1230,75000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),75000.0
1232,1100.0,Monthly,0-2 years,0-2 years,Euros (€),14124.0
1233,1500.0,Monthly,6-8 years,3-5 years,Euros (€),19260.0
1234,71000.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),71000.0
1238,1000000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),144000.0
1240,160000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),160000.0
1246,50000.0,Yearly,30 or more years,18-20 years,Euros (€),53500.0
1247,110000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),110000.0
1254,65600.0,Yearly,18-20 years,15-17 years,Euros (€),70192.0
1255,68000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),68000.0
1256,154000.0,Yearly,12-14 years,12-14 years,U.S. dollars ($),154000.0
1257,51000.0,Yearly,18-20 years,6-8 years,Euros (€),54570.0
1260,72000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),72000.0
1261,65000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),65000.0
1265,5000.0,Monthly,21-23 years,18-20 years,Euros (€),64200.0
1267,1200.0,Monthly,9-11 years,6-8 years,Euros (€),15408.0
1268,125000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),125000.0
1273,75000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),75000.0
1275,35000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),5040.0
1277,60000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),60000.0
1278,80000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),80000.0
1279,90000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),90000.0
1280,70000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),70000.0
1281,2700.0,Monthly,27-29 years,12-14 years,Euros (€),34668.0
1283,12500.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),1800.0
1293,48000.0,Yearly,6-8 years,6-8 years,Euros (€),51360.0
1294,55000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),55000.0
1300,3300.0,Monthly,6-8 years,6-8 years,Euros (€),42372.0
1303,25000.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),3600.0
1304,110000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),110000.0
1312,70000.0,Yearly,12-14 years,3-5 years,Canadian dollars (C$),51100.0
1313,1000.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),52000.0
1315,40000.0,Yearly,3-5 years,3-5 years,Euros (€),42800.0
1316,65000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),65000.0
1321,68835.0,Weekly,6-8 years,0-2 years,U.S. dollars ($),3579420.0
1324,87000.0,Monthly,18-20 years,18-20 years,British pounds sterling (£),1294560.0
1326,58500.0,Yearly,12-14 years,3-5 years,Euros (€),62595.0
1327,1650000.0,Yearly,6-8 years,9-11 years,Indian rupees (₹),19800.0
1330,1100.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),13200.0
1333,160000.0,Yearly,30 or more years,15-17 years,Euros (€),171200.0
1335,32500.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),4680.0
1337,48000.0,Yearly,24-26 years,3-5 years,Euros (€),51360.0
1338,1000.0,Monthly,15-17 years,12-14 years,Euros (€),12840.0
1341,1780.0,Monthly,3-5 years,0-2 years,Euros (€),22855.2
1342,37000.0,Monthly,6-8 years,3-5 years,Russian rubles (₽),4884.0
1347,130000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),130000.0
1349,4200.0,Monthly,6-8 years,6-8 years,Euros (€),53928.0
1350,1000.0,Monthly,6-8 years,3-5 years,Euros (€),12840.0
1353,31000.0,Yearly,0-2 years,0-2 years,British pounds sterling (£),38440.0
1358,62000.0,Monthly,9-11 years,3-5 years,Indian rupees (₹),8928.0
1362,105000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),105000.0
1369,840000.0,Yearly,18-20 years,12-14 years,South African rands (R),43680.0
1371,4080.0,Monthly,18-20 years,18-20 years,Euros (€),52387.200000000004
1375,80000.0,Yearly,3-5 years,0-2 years,Canadian dollars (C$),58400.0
1377,12000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),1728.0
1379,60000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),60000.0
1381,34000.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),37536.0
1382,75000.0,Monthly,15-17 years,9-11 years,Russian rubles (₽),9900.0
1384,153000.0,Yearly,15-17 years,9-11 years,Australian dollars (A$),99450.0
1386,130000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),130000.0
1389,5000.0,Monthly,9-11 years,3-5 years,U.S. dollars ($),60000.0
1390,30000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),37200.0
1391,100000.0,Yearly,9-11 years,9-11 years,Australian dollars (A$),65000.0
1393,6000.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),13680.0
1397,145000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),145000.0
1400,110000.0,Yearly,18-20 years,12-14 years,U.S. dollars ($),110000.0
1401,3250.0,Monthly,9-11 years,0-2 years,Euros (€),41730.0
1407,50000.0,Yearly,3-5 years,0-2 years,Euros (€),53500.0
1409,96000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),96000.0
1410,79899.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),79899.0
1412,1234000.0,Yearly,9-11 years,3-5 years,Indian rupees (₹),14808.0
1414,60000.0,Yearly,18-20 years,15-17 years,Euros (€),64200.00000000001
1417,46000.0,Yearly,6-8 years,6-8 years,British pounds sterling (£),57040.0
1419,1170000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),14040.0
1420,95000.0,Yearly,30 or more years,30 or more years,British pounds sterling (£),117800.0
1421,37000.0,Yearly,18-20 years,15-17 years,Euros (€),39590.0
1422,4100.0,Monthly,18-20 years,9-11 years,Euros (€),52644.0
1423,4900.0,Monthly,18-20 years,15-17 years,Euros (€),62916.0
1424,3500.0,Monthly,12-14 years,12-14 years,Euros (€),44940.0
1425,50000.0,Monthly,18-20 years,15-17 years,British pounds sterling (£),744000.0
1426,48800.0,Monthly,9-11 years,3-5 years,Danish krone (kr),81984.00000000001
1430,15000.0,Monthly,15-17 years,9-11 years,Polish złoty (zł),45000.0
1435,4400.0,Monthly,12-14 years,12-14 years,Euros (€),56496.0
1440,32000.0,Yearly,3-5 years,3-5 years,Euros (€),34240.0
1443,113000.0,Yearly,6-8 years,6-8 years,Canadian dollars (C$),82490.0
1448,400.0,Monthly,3-5 years,0-2 years,Euros (€),5136.0
1449,3500000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),3500000.0
1451,6000.0,Weekly,3-5 years,3-5 years,Polish złoty (zł),78000.0
1453,6000.0,Monthly,9-11 years,3-5 years,Euros (€),77040.0
1454,130000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),130000.0
1457,38500.0,Yearly,15-17 years,3-5 years,Euros (€),41195.0
1458,145000.0,Weekly,6-8 years,3-5 years,U.S. dollars ($),7540000.0
1463,11500.0,Monthly,9-11 years,6-8 years,Polish złoty (zł),34500.0
1464,90000.0,Yearly,15-17 years,15-17 years,U.S. dollars ($),90000.0
1467,50000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),7200.0
1472,100000.0,Yearly,30 or more years,30 or more years,British pounds sterling (£),124000.0
1473,27000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),33480.0
1481,4000.0,Monthly,12-14 years,6-8 years,Euros (€),51360.0
1484,160000.0,Yearly,30 or more years,21-23 years,British pounds sterling (£),198400.0
1486,46500.0,Yearly,9-11 years,3-5 years,Euros (€),49755.0
1488,165000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),165000.0
1492,100000.0,Yearly,6-8 years,9-11 years,Euros (€),107000.0
1493,2500.0,Monthly,15-17 years,9-11 years,Euros (€),32100.0
1496,280000.0,Monthly,6-8 years,3-5 years,Russian rubles (₽),36960.0
1499,83000.0,Yearly,30 or more years,18-20 years,U.S. dollars ($),83000.0
1500,1000.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),12000.0
1501,120000.0,Weekly,30 or more years,30 or more years,Australian dollars (A$),4056000.0
1505,130000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),18720.0
1507,7000.0,Monthly,3-5 years,0-2 years,Polish złoty (zł),21000.0
1508,142000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),142000.0
1510,125000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),125000.0
1512,43500.0,Yearly,9-11 years,0-2 years,British pounds sterling (£),53940.0
1513,60000.0,Yearly,15-17 years,6-8 years,British pounds sterling (£),74400.0
1516,1700.0,Monthly,18-20 years,15-17 years,Euros (€),21828.0
1518,1500.0,Monthly,0-2 years,0-2 years,Euros (€),19260.0
1519,50000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),50000.0
1521,115000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),115000.0
1524,78000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),78000.0
1527,205000.0,Yearly,0-2 years,0-2 years,Indian rupees (₹),2460.0
1530,400.0,Monthly,3-5 years,0-2 years,Euros (€),5136.0
1536,11000.0,Monthly,15-17 years,15-17 years,Canadian dollars (C$),96360.0
1537,73000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),73000.0
1539,19000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),23560.0
1541,550000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),6600.0
1544,130000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),130000.0
1545,65000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),65000.0
